shortlist_rank,screening_rank,outage_branch_idx,outage_from_bus,outage_to_bus,outage_branch,outage_rating_MVA,is_islanding,n_islands,smallest_island_buses,largest_island_buses,success_hours,failed_hours,success_rate_pct,total_solve_time_s,mean_solve_time_s,max_solve_time_s,mean_cost,mean_cost_delta,mean_cost_delta_pct,max_cost,mean_loss_MW,mean_loss_delta_MW,mean_loss_delta_pct,max_loss_MW,max_loading_pct,mean_hourly_system_max_loading_pct,max_loading_branch_idx,max_loading_branch,max_loading_hour,hours_any_gt80,hours_any_gt90,hours_any_gt95,hours_any_gt99,branch_hours_gt80,branch_hours_gt90,branch_hours_gt95,branch_hours_gt99,stress_above80_pp_sum,stress_above90_pp_sum,min_VM_pu,max_VM_pu,max_case_voltage_violation_pu,case_voltage_violation_bus_hours,screen_voltage_violation_bus_hours,mean_abs_voltage_dev_from_intact_pu,max_abs_voltage_dev_from_intact_pu,mean_loading_94_100_pct,max_loading_94_100_pct,mean_loading_26_30_pct,max_loading_26_30_pct,screening_severity_score,reason_opf_failure,reason_max_loading,reason_stress90,reason_voltage,reason_cost,reason_loss,reason_target_94_100,reason_target_26_30
1,10,38,26,30,26-30,340,0,1,118,118,24,0,100,5.9638596,0.24849415,0.3613873,49361.6979441925,667.874359653943,1.37157920756506,64050.9073784876,64.6395465073812,8.41904486277411,14.975044007957,84.3793788867569,100.00004509716,100.000004457378,31,23-25,2,24,24,24,24,50,48,48,48,961.359015248112,480.000059606962,0.98954300916881,1.0599999992704,0,0,738,0.00220065226573007,0.0271375465030859,99.9999999403931,100.000001043991,NaN,NaN,82.1112322946668,0,1,1,0,1,0,0,0
2,11,8,8,5,8-5,1099,0,1,118,118,24,0,100,11.6441656,0.485173566666667,3.9722332,49331.6589641726,637.835379634089,1.30988969992617,64873.3156516417,79.7571510209695,23.5366493763624,41.864886807925,124.905259754926,100.000017643029,100.000001341936,155,94-100,22,24,24,24,24,52,40,38,38,825.917552929307,385.550533396645,0.977483939622765,1.05999999810282,0,0,660,0.00553539717138581,0.0616621083403123,100.000001194802,100.000017643029,73.7281841328108,76.5087945753394,65.2773292511266,0,1,1,1,1,1,1,0
3,12,32,26,25,26-25,768,0,1,118,118,24,0,100,5.3880806,0.224503358333333,0.2439396,49258.285061725,564.46147718648,1.15920549185567,64025.2791685567,61.2662560147305,5.04575437012345,8.97493658455724,82.7720404411646,100.000004046659,100.00000059158,155,94-100,21,24,24,24,24,52,48,48,48,969.187506551339,480.000003176372,0.987115198278676,1.05999999966737,0,0,660,0.00345491898819391,0.0317892161152022,100.000000140033,100.000004046659,99.9999999923159,100.000002136841,48.122746770971,0,0,1,1,1,0,0,1
4,13,33,25,27,25-27,177,0,1,118,118,24,0,100,5.3645813,0.223524220833333,0.2620587,48818.5850973558,124.761512817247,0.256216299384759,63514.3333427396,60.3607616978385,4.14026005323142,7.36432428049771,78.8235799003313,100.000003037648,100.000000250156,155,94-100,22,24,24,24,24,74,48,48,44,1157.24899836411,472.155891371715,0.987290290840865,1.05999999929344,0,0,634,0.00255128399394425,0.0311570040401845,100.000000228848,100.000003037648,88.4971191196868,89.5946931056016,38.1191206053028,0,0,1,1,0,0,0,1
5,14,150,94,96,94-96,149,0,1,118,118,24,0,100,6.1637211,0.2568217125,0.3009339,48239.5833298198,-454.240254718694,-0.932849838604431,62898.2592546962,66.6845469743542,10.4640453297471,18.6125079350851,79.3131852904024,100.000007927943,100.000000497306,155,94-100,21,24,24,24,24,75,47,46,39,1069.73279393208,438.325651058797,0.992024707923264,1.05999999981264,0,0,596,0.000631998861109786,0.0066635217874198,100.000000497306,100.000007927943,75.9292245725793,80.1339123078146,32.8749638800424,0,0,1,0,0,1,0,0
6,15,147,94,95,94-95,151,0,1,118,118,24,0,100,6.1280395,0.255334979166667,0.2889922,48286.1211398056,-407.702444732909,-0.83727753279651,62922.4082293093,65.7107846818412,9.49028303723416,16.8804666618348,80.0086177950578,100.000000062552,99.9999997957805,155,94-100,19,24,24,24,24,51,48,47,40,936.063299078394,449.011198053531,0.990118939541836,1.05999999880833,0,0,542,0.00108057571897165,0.0204767387047309,99.9999997957805,100.000000062552,75.8649749575287,79.9647978073225,30.8396915881775,0,0,1,0,0,1,0,0
7,16,31,23,25,23-25,186,0,1,118,118,24,0,100,6.9486483,0.2895270125,0.5466154,48835.19197103,141.368386491435,0.290320981358142,63483.8594854063,61.50742773784,5.28692609323291,9.4039112753809,78.8939531573171,100.000002916788,100.000000484766,155,94-100,19,24,24,24,24,74,63,44,28,1111.68685116135,427.625515543289,0.987178859149342,1.05999999888014,0,0,622,0.00133682911538346,0.0134451088149987,100.000000484766,100.000002916788,96.4955262033633,99.3659668180769,29.8552731469103,0,0,1,0,0,0,0,1
8,17,51,38,37,38-37,783,0,1,118,118,24,0,100,5.8302107,0.242925445833333,0.3310057,48921.2826446944,227.459060155874,0.46712096814697,63706.873242938,65.0831528905208,8.86265124591369,15.7640913664167,88.1779650047621,100.000003431373,100.000000340628,155,94-100,18,24,24,24,24,39,27,24,24,563.381393357825,246.025420815132,0.997497720162334,1.05999999941417,0,0,563,0.00544674870325409,0.0506294838653034,100.000000340628,100.000003431373,74.5619969342067,79.1285586531161,23.4574166423881,0,0,0,1,1,0,0,0
9,18,159,99,100,99-100,175,0,1,118,118,24,0,100,6.1736131,0.257233879166667,0.3020733,49532.3936279474,838.570043408843,1.72212815030428,64198.4171764971,48.1282127236477,-8.09228892095938,-14.3938397634978,63.7486389237309,100.000000127032,99.9999998603986,155,94-100,22,24,24,24,24,34,24,24,24,496.676861962489,239.999996649567,0.990228504756574,1.05999999923879,0,0,551,0.00232987689513205,0.0309181000760475,99.9999998603986,100.000000127032,75.5872182528976,79.0483871677691,22.6297720065763,0,0,0,1,1,0,0,0
10,19,155,94,100,94-100,150,0,1,118,118,24,0,100,6.0268983,0.2511207625,0.2788769,47953.6652649549,-740.158319583657,-1.52002505676855,62958.9750716673,69.6982342362626,13.4777325916555,23.9729852943217,80.4511581208871,100.000000016178,99.7518566642901,154,92-100,9,24,24,24,21,66,52,30,21,923.075831085534,331.627579851813,0.997701958900564,1.05999999956086,0,0,642,0.00263852852630617,0.0200558876738124,NaN,NaN,75.913821919185,79.8024773484938,20.1678654662893,0,0,1,0,0,1,0,0
