N_requested,N_valid,scenario,scenario_label,metric,estimate,bootstrap_se,ci_low,ci_high,unit
50,50,S1_Low_Conc,Low/Concentrated,daily_cost,1128745.42306754,2976.82481565635,1122700.67920475,1134110.73340533,currency/day
50,50,S1_Low_Conc,Low/Concentrated,daily_loss_MWh,1311.13524522941,2.3511963908494,1306.25687948542,1315.51706551806,MWh/day
50,50,S1_Low_Conc,Low/Concentrated,solar_curt_MWh,0,0,0,0,MWh/day
50,50,S1_Low_Conc,Low/Concentrated,wind_curt_MWh,0,0,0,0,MWh/day
50,50,S1_Low_Conc,Low/Concentrated,curtailed_hours,0,0,0,0,h/day
50,50,S1_Low_Conc,Low/Concentrated,trajectory_curt_prob_pct,0,0,0,0,%
50,50,S2_High_Conc,High/Concentrated,daily_cost,1091250.06543241,5725.25378394268,1080072.23481259,1101795.67167637,currency/day
50,50,S2_High_Conc,High/Concentrated,daily_loss_MWh,1362.63817717383,6.93441854039102,1348.54510903561,1376.08354234093,MWh/day
50,50,S2_High_Conc,High/Concentrated,solar_curt_MWh,0,0,0,0,MWh/day
50,50,S2_High_Conc,High/Concentrated,wind_curt_MWh,0,0,0,0,MWh/day
50,50,S2_High_Conc,High/Concentrated,curtailed_hours,0,0,0,0,h/day
50,50,S2_High_Conc,High/Concentrated,trajectory_curt_prob_pct,0,0,0,0,%
50,50,S3_Low_Dist,Low/Distributed,daily_cost,1128438.91027081,2291.46514599427,1123722.92740484,1132737.70153025,currency/day
50,50,S3_Low_Dist,Low/Distributed,daily_loss_MWh,1303.8274332614,2.06544421357183,1299.4296745363,1307.70318820828,MWh/day
50,50,S3_Low_Dist,Low/Distributed,solar_curt_MWh,0,0,0,0,MWh/day
50,50,S3_Low_Dist,Low/Distributed,wind_curt_MWh,0,0,0,0,MWh/day
50,50,S3_Low_Dist,Low/Distributed,curtailed_hours,0,0,0,0,h/day
50,50,S3_Low_Dist,Low/Distributed,trajectory_curt_prob_pct,0,0,0,0,%
50,50,S4_High_Dist,High/Distributed,daily_cost,1089368.12409576,4568.39902593636,1080258.97506379,1098384.51901024,currency/day
50,50,S4_High_Dist,High/Distributed,daily_loss_MWh,1300.66284395841,2.50969159674352,1295.64488308367,1305.14711191386,MWh/day
50,50,S4_High_Dist,High/Distributed,solar_curt_MWh,0,0,0,0,MWh/day
50,50,S4_High_Dist,High/Distributed,wind_curt_MWh,0,0,0,0,MWh/day
50,50,S4_High_Dist,High/Distributed,curtailed_hours,0,0,0,0,h/day
50,50,S4_High_Dist,High/Distributed,trajectory_curt_prob_pct,0,0,0,0,%
100,100,S1_Low_Conc,Low/Concentrated,daily_cost,1126813.14518063,2242.60381705869,1122298.41271832,1131035.80293568,currency/day
100,100,S1_Low_Conc,Low/Concentrated,daily_loss_MWh,1309.65341047931,1.90693944372489,1305.94768220843,1313.1562664196,MWh/day
100,100,S1_Low_Conc,Low/Concentrated,solar_curt_MWh,0,0,0,0,MWh/day
100,100,S1_Low_Conc,Low/Concentrated,wind_curt_MWh,0,0,0,0,MWh/day
100,100,S1_Low_Conc,Low/Concentrated,curtailed_hours,0,0,0,0,h/day
100,100,S1_Low_Conc,Low/Concentrated,trajectory_curt_prob_pct,0,0,0,0,%
100,100,S2_High_Conc,High/Concentrated,daily_cost,1087501.61056852,4373.14777783288,1078720.13346905,1095600.85614777,currency/day
100,100,S2_High_Conc,High/Concentrated,daily_loss_MWh,1362.96057887126,4.89999187799141,1353.83250425337,1372.58288270735,MWh/day
100,100,S2_High_Conc,High/Concentrated,solar_curt_MWh,0,0,0,0,MWh/day
100,100,S2_High_Conc,High/Concentrated,wind_curt_MWh,0,0,0,0,MWh/day
100,100,S2_High_Conc,High/Concentrated,curtailed_hours,0,0,0,0,h/day
100,100,S2_High_Conc,High/Concentrated,trajectory_curt_prob_pct,0,0,0,0,%
100,100,S3_Low_Dist,Low/Distributed,daily_cost,1126215.3207432,1702.25084965447,1122863.51403305,1129433.60891647,currency/day
