trajectory,successful_hours,solve_time_s,daily_cost,daily_loss_MWh,solar_curt_MWh,wind_curt_MWh,max_solar_curt_MW,max_wind_curt_MW,curtailed_hours
1,24,6.6797201,1102391.96404477,1274.33918844447,0,0,0,0,0
2,24,6.6474121,1072849.32813765,1271.20069380151,0,0,0,0,0
3,24,6.840289,1142044.81898436,1328.36384163902,0,0,0,0,0
4,24,6.7118228,1143927.20407138,1320.12385587455,0,0,0,0,0
5,24,6.6354072,1119975.96835921,1299.26354467194,0,0,0,0,0
6,24,6.7168382,1148692.02842775,1325.08494722769,0,0,0,0,0
7,24,6.6086008,1118522.19333271,1285.05875797885,0,0,0,0,0
8,24,6.5462904,1136102.33924793,1320.6066994722,0,0,0,0,0
9,24,6.3958047,1146622.82178308,1321.93378495856,0,0,0,0,0
10,24,6.4160032,1134705.9737396,1328.49635373464,0,0,0,0,0
11,24,6.7157941,1150957.43780889,1320.79091905381,0,0,0,0,0
12,24,5.7745456,1135519.89479314,1310.51498525192,0,0,0,0,0
13,24,5.841042,1095192.84653763,1258.65274122694,0,0,0,0,0
14,24,5.6066661,1116148.88300094,1290.45845710379,0,0,0,0,0
15,24,5.5432416,1118532.81731792,1304.32653774568,0,0,0,0,0
16,24,5.7520233,1143191.40962181,1308.10712569005,0,0,0,0,0
17,24,5.4193529,1127177.36571277,1303.24029540653,0,0,0,0,0
18,24,6.8069848,1077253.71809776,1253.12331717477,0,0,0,0,0
19,24,6.7641111,1144560.13712993,1325.00594138222,0,0,0,0,0
20,24,6.7150495,1137344.90511845,1315.03291270698,0,0,0,0,0
21,24,6.6685469,1137002.81090711,1319.23831002016,0,0,0,0,0
22,24,6.5126463,1106255.3921017,1282.27534416695,0,0,0,0,0
23,24,6.6819906,1113885.11385594,1289.03619568127,0,0,0,0,0
24,24,6.7011687,1136876.52767897,1314.26344578714,0,0,0,0,0
25,24,6.4548915,1142922.73468469,1328.56066223974,0,0,0,0,0
26,24,6.4275969,1127224.31524808,1308.90553836999,0,0,0,0,0
27,24,6.3901749,1103468.70111027,1274.22226382393,0,0,0,0,0
28,24,6.5670601,1108999.31134761,1276.63523355899,0,0,0,0,0
29,24,5.7903117,1064606.84984087,1307.94285419151,0,0,0,0,0
30,24,5.8108862,1125871.72840269,1302.07700505597,0,0,0,0,0
31,24,5.6626295,1126560.73795661,1306.09488630223,0,0,0,0,0
32,24,5.5905769,1125288.69267483,1295.89762196069,0,0,0,0,0
33,24,5.6393841,1142163.99423372,1323.0377630889,0,0,0,0,0
34,24,5.3298064,1129825.31678433,1300.8801318503,0,0,0,0,0
35,24,6.7474237,1127538.60979508,1305.06216232824,0,0,0,0,0
36,24,6.655925,1138463.01750108,1322.1926191734,0,0,0,0,0
37,24,6.7248894,1119259.65037457,1295.42011837209,0,0,0,0,0
38,24,6.6262535,1128494.50370408,1305.065691252,0,0,0,0,0
