trajectory,successful_hours,solve_time_s,daily_cost,daily_loss_MWh,solar_curt_MWh,wind_curt_MWh,max_solar_curt_MW,max_wind_curt_MW,curtailed_hours
1,24,9.2268957,1039385.9120623,1318.28021848259,0,0,0,0,0
2,24,8.5603246,984007.646048383,1413.63030913971,0,0,0,0,0
3,24,10.6137068,1117554.90221296,1387.53623827894,0,0,0,0,0
4,24,11.8676238,1120572.2759156,1342.8847898263,0,0,0,0,0
5,24,12.4694524,1073821.78539316,1342.72926916355,0,0,0,0,0
6,24,11.6332001,1129856.6236151,1344.18634392342,0,0,0,0,0
7,24,11.2110596,1070288.77485939,1290.98685164325,0,0,0,0,0
8,24,11.3260022,1105879.48725396,1379.93261490438,0,0,0,0,0
9,24,11.4715423,1125781.67580451,1338.7689300769,0,0,0,0,0
10,24,11.7015254,1103638.47835988,1417.43925321205,0,0,0,0,0
11,24,11.9167493,1133918.85336212,1316.4411193203,0,0,0,0,0
12,24,11.5378273,1104055.14883742,1334.07203858,0,0,0,0,0
13,24,11.5172673,1024919.07478517,1280.99388233585,0,0,0,0,0
14,24,11.1387346,1066179.7835945,1323.12756467101,0,0,0,0,0
15,24,11.2624668,1071530.14222595,1374.60641482258,0,0,0,0,0
16,24,11.8359859,1118530.09179226,1295.7128699591,0,0,0,0,0
17,24,12.3665797,1087828.48722156,1337.88204089066,0,0,0,0,0
18,24,9.1553777,990526.86590208,1322.63384120631,0,0,0,0,0
19,24,8.7211067,1122060.21898453,1360.91798753361,0,0,0,0,0
20,24,10.7696264,1107863.57141808,1348.92431226752,0,0,0,0,0
21,24,12.0001039,1107227.48391714,1360.21102150173,0,0,0,0,0
22,24,12.4307498,1046644.96550737,1315.27166223835,0,0,0,0,0
23,24,11.4691777,1062056.04371614,1334.39467488179,0,0,0,0,0
24,24,11.1650054,1106909.09238959,1346.92845648626,0,0,0,0,0
25,24,11.3440061,1119115.9557612,1380.69620324146,0,0,0,0,0
26,24,11.4254328,1088021.70851929,1352.88551369113,0,0,0,0,0
27,24,11.7073946,1041454.73007358,1313.34802380863,0,0,0,0,0
28,24,11.8619174,1052056.63115662,1302.98473079383,0,0,0,0,0
29,24,11.3599896,975373.935095611,1568.33068427595,0,30.7897051322312,0,11.7941935057775,3
30,24,11.3838002,1085444.85752322,1342.2939962405,0,0,0,0,0
31,24,11.0868632,1086746.98238347,1348.26824160975,0,0,0,0,0
32,24,11.2507012,1083888.14891232,1315.30251818306,0,0,0,0,0
33,24,11.7632235,1117468.09816329,1364.23412321593,0,0,0,0,0
34,24,12.3526322,1092841.23749316,1321.1039651715,0,0,0,0,0
35,24,9.264224,1088525.67134658,1339.97136026202,0,0,0,0,0
