trajectory,successful_hours,solve_time_s,daily_cost,daily_loss_MWh,solar_curt_MWh,wind_curt_MWh,max_solar_curt_MW,max_wind_curt_MW,curtailed_hours
1,24,8.451241,1102226.86860739,1266.17581761453,0,0,0,0,0
2,24,8.2907788,1072434.9229341,1252.20226100746,0,0,0,0,0
3,24,8.4662747,1141783.11234868,1318.8192734421,0,0,0,0,0
4,24,8.5822515,1143826.52060932,1316.52932273355,0,0,0,0,0
5,24,8.1978475,1119812.35908723,1292.58434267251,0,0,0,0,0
6,24,8.4576514,1148622.42999145,1322.70111135964,0,0,0,0,0
7,24,8.4968603,1118521.16288065,1284.45162689184,0,0,0,0,0
8,24,8.366958,1135841.25358658,1310.85503655424,0,0,0,0,0
9,24,8.4120141,1146551.28419158,1319.2896952375,0,0,0,0,0
10,24,8.8219999,1134302.73398117,1313.49874439891,0,0,0,0,0
11,24,8.7108415,1150977.93512614,1321.56401828089,0,0,0,0,0
12,24,10.3303054,1135431.39902035,1307.40011776157,0,0,0,0,0
13,24,13.6123125,1095124.32655453,1253.4314964439,0,0,0,0,0
14,24,9.0128567,1116018.16165488,1284.75037041822,0,0,0,0,0
15,24,9.0484625,1118252.15730338,1293.50571399659,0,0,0,0,0
16,24,8.9899453,1143259.75663652,1310.33318271323,0,0,0,0,0
17,24,8.9914675,1127052.81354447,1298.42816570052,0,0,0,0,0
18,24,8.4063136,1077089.33086182,1244.41499397905,0,0,0,0,0
19,24,8.4161319,1144409.3554261,1319.62259563591,0,0,0,0,0
20,24,8.554222,1137213.15688326,1310.0101539068,0,0,0,0,0
21,24,8.5457272,1136833.25600372,1313.30400475371,0,0,0,0,0
22,24,8.4377289,1106204.13069715,1280.65549222203,0,0,0,0,0
23,24,8.3177941,1113649.99026517,1278.60619818592,0,0,0,0,0
24,24,8.1956421,1136747.21768679,1309.39796236403,0,0,0,0,0
25,24,8.4078411,1142688.68217622,1320.07516672253,0,0,0,0,0
26,24,8.2240391,1127067.43696293,1303.40610451533,0,0,0,0,0
27,24,8.7770061,1103348.20683701,1267.92868483455,0,0,0,0,0
28,24,8.7698421,1108920.81746069,1272.19394523773,0,0,0,0,0
29,24,10.3875324,1064001.6492087,1282.46139533728,0,0,0,0,0
30,24,13.5595043,1125687.11009091,1294.5361053974,0,0,0,0,0
31,24,9.1567471,1126396.73055683,1299.88398063668,0,0,0,0,0
32,24,9.0044515,1125216.38493237,1292.83559934462,0,0,0,0,0
33,24,9.0627261,1141988.56345707,1316.6698173076,0,0,0,0,0
34,24,9.0249744,1129748.86252902,1297.03411744636,0,0,0,0,0
35,24,8.7467269,1127411.74862894,1300.51440008885,0,0,0,0,0
36,24,8.676239,1138246.79531099,1314.56134990368,0,0,0,0,0
37,24,8.493415,1119074.57749528,1287.69815382558,0,0,0,0,0
38,24,8.6114078,1128343.00278686,1299.30675698151,0,0,0,0,0
39,24,8.6235769,1116410.6887693,1284.39494839561,0,0,0,0,0
40,24,8.7020844,1113061.60778301,1281.98310560985,0,0,0,0,0
41,24,8.7218759,1137026.63716579,1304.34894882567,0,0,0,0,0
42,24,8.5412756,1084103.98565771,1250.09129355935,0,0,0,0,0
43,24,8.9732269,1138588.71530708,1314.26475884774,0,0,0,0,0
44,24,9.1159975,1110452.76336674,1268.82100275164,0,0,0,0,0
45,24,8.8672829,1140363.31118031,1310.94937973618,0,0,0,0,0
46,24,9.9543116,1104843.45223215,1270.90119977769,0,0,0,0,0
47,24,13.8866052,1121115.47818263,1287.87041361008,0,0,0,0,0
48,24,9.1059818,1112866.77287075,1287.9195091634,0,0,0,0,0
49,24,9.206094,1107787.5057058,1279.14287110565,0,0,0,0,0
50,24,9.000868,1105008.01836022,1269.29252422589,0,0,0,0,0
51,24,9.1238733,1089970.93944713,1258.23707782516,0,0,0,0,0
52,24,8.4129465,1115735.80690783,1284.60872661295,0,0,0,0,0
53,24,8.4440874,1152369.31859664,1325.25600777253,0,0,0,0,0
54,24,8.519196,1099796.12149244,1272.49703641077,0,0,0,0,0
55,24,8.3103642,1132765.29479342,1307.3159254617,0,0,0,0,0
56,24,8.4114337,1128905.66792156,1301.08908492633,0,0,0,0,0
57,24,8.4529539,1141251.71711804,1314.66121814257,0,0,0,0,0
58,24,8.2026841,1131176.65945848,1305.32767523648,0,0,0,0,0
59,24,8.5301341,1148861.05534278,1320.9154816984,0,0,0,0,0
60,24,8.2444694,1137929.26403575,1313.32913847674,0,0,0,0,0
61,24,8.7759695,1104515.12097149,1286.33908416121,0,0,0,0,0
62,24,8.8606263,1144099.26260923,1319.49167538659,0,0,0,0,0
63,24,10.165438,1128108.00596905,1297.79207757573,0,0,0,0,0
64,24,13.8276825,1138044.21371125,1311.63393270431,0,0,0,0,0
65,24,9.1357396,1120280.56721547,1290.84555506856,0,0,0,0,0
66,24,9.0565631,1126346.01685705,1298.10106074979,0,0,0,0,0
67,24,8.9607891,1113223.52267702,1286.6016428341,0,0,0,0,0
68,24,8.8642845,1122952.37672111,1294.38086359526,0,0,0,0,0
69,24,8.684,1137071.63631393,1311.22691091819,0,0,0,0,0
70,24,8.6577542,1131109.16527201,1303.01430952742,0,0,0,0,0
71,24,8.5958194,1137542.05159058,1311.02024889793,0,0,0,0,0
72,24,8.6826025,1135180.3373776,1309.06099142122,0,0,0,0,0
73,24,8.4955745,1123535.32666629,1291.70009463331,0,0,0,0,0
74,24,8.5107075,1134426.15660036,1310.37221873579,0,0,0,0,0
75,24,8.4593431,1113817.90537655,1284.02603920343,0,0,0,0,0
76,24,8.9255639,1084480.84149506,1268.56335224566,0,0,0,0,0
77,24,8.6774682,1119830.37344692,1284.70826575787,0,0,0,0,0
78,24,9.0287179,1146780.64794316,1322.278927519,0,0,0,0,0
79,24,8.9489458,1113438.92345095,1280.96577583807,0,0,0,0,0
80,24,10.2542587,1108942.93682289,1284.36007212123,0,0,0,0,0
81,24,13.4129054,1129437.93540433,1296.76003144031,0,0,0,0,0
82,24,9.0896865,1138092.80545986,1309.61967441485,0,0,0,0,0
83,24,9.1534834,1123847.67472852,1295.76639950468,0,0,0,0,0
84,24,9.0930973,1126066.72133231,1295.61100912129,0,0,0,0,0
85,24,9.0641705,1118476.42089885,1281.71249691144,0,0,0,0,0
86,24,8.430921,1095902.18326192,1273.18905051975,0,0,0,0,0
87,24,8.4380132,1137694.426419,1310.41169501404,0,0,0,0,0
88,24,8.309749,1133281.14495018,1305.51236406303,0,0,0,0,0
89,24,8.2700516,1107800.07379922,1271.65182729242,0,0,0,0,0
90,24,8.2692948,1107305.78918033,1278.29678803139,0,0,0,0,0
91,24,8.2761374,1141858.19897184,1313.44972260909,0,0,0,0,0
92,24,8.2578766,1120321.95461915,1289.75352591709,0,0,0,0,0
93,24,8.264664,1046080.09997431,1233.34561026287,0,0,0,0,0
94,24,8.4492329,1110878.28666896,1283.24022330299,0,0,0,0,0
95,24,8.6982941,1110192.54704256,1279.9003347181,0,0,0,0,0
96,24,8.7615011,1089771.90520712,1250.1782230395,0,0,0,0,0
97,24,10.3192766,1141759.178097,1317.13634123741,0,0,0,0,0
98,24,13.5905795,1121468.60482401,1292.41273660776,0,0,0,0,0
99,24,9.3153559,1117594.13145242,1285.49508495426,0,0,0,0,0
100,24,8.9253334,1137152.81993357,1304.92828774843,0,0,0,0,0
101,24,8.8318208,1138140.33320909,1311.68349420107,0,0,0,0,0
102,24,9.0019138,1121893.53727887,1291.61777419265,0,0,0,0,0
103,24,7.8711112,1126082.41200918,1297.75015952319,0,0,0,0,0
104,24,7.9380828,1142791.68968373,1316.3271488305,0,0,0,0,0
105,24,7.9466363,1118330.08380154,1286.44367429896,0,0,0,0,0
106,24,7.9972955,1133914.79478568,1308.14315262843,0,0,0,0,0
107,24,8.095212,1088376.35324936,1252.8448853446,0,0,0,0,0
108,24,8.0162482,1142843.52423821,1317.14723718366,0,0,0,0,0
109,24,7.8925347,1091596.9144689,1266.99731284802,0,0,0,0,0
110,24,8.0004708,1132954.65222365,1300.19859132772,0,0,0,0,0
111,24,8.0319437,1139258.72133117,1312.23894603055,0,0,0,0,0
112,24,8.1320973,1146715.65850551,1319.91462842678,0,0,0,0,0
113,24,8.0293434,1076909.14181987,1255.02417424256,0,0,0,0,0
114,24,7.9024732,1130285.56539852,1296.64528533864,0,0,0,0,0
115,24,7.9085787,1117563.60666016,1294.23823929476,0,0,0,0,0
116,24,8.0057036,1108617.60482608,1284.56582951696,0,0,0,0,0
117,24,7.8998634,1132239.02620928,1303.44944644367,0,0,0,0,0
118,24,8.411856,1129328.00594272,1293.82453104897,0,0,0,0,0
119,24,8.0276539,1125888.15311869,1300.44934924793,0,0,0,0,0
120,24,8.0317025,1126753.67296461,1297.31964379211,0,0,0,0,0
121,24,8.0476772,1103366.79782708,1276.26731433221,0,0,0,0,0
122,24,8.1712612,1136956.24745684,1313.21210827458,0,0,0,0,0
123,24,7.7830855,1137867.73714837,1309.79557576977,0,0,0,0,0
124,24,8.0363172,1109030.29684665,1276.39133165906,0,0,0,0,0
125,24,8.3980434,1145338.64692784,1318.89348357652,0,0,0,0,0
126,24,9.1491415,1146832.13104684,1321.11532479901,0,0,0,0,0
127,24,7.9967247,1137399.46200924,1310.15463643753,0,0,0,0,0
128,24,8.0833839,1116649.17945252,1293.20822561239,0,0,0,0,0
129,24,7.9969546,1142544.59858784,1318.20124582665,0,0,0,0,0
130,24,7.9603454,1120872.48474449,1293.40981892636,0,0,0,0,0
131,24,8.0908818,1133484.4928771,1306.24972238095,0,0,0,0,0
132,24,7.9237101,1099516.01686068,1269.6343326446,0,0,0,0,0
133,24,7.8716266,1144775.25822444,1315.98702009464,0,0,0,0,0
134,24,8.0481388,1104698.86025082,1271.1127375417,0,0,0,0,0
135,24,7.9888877,1139528.81923847,1313.77293508808,0,0,0,0,0
136,24,7.9436243,1136839.34009747,1311.22271928163,0,0,0,0,0
137,24,8.0410303,1145138.38930941,1319.93383093185,0,0,0,0,0
138,24,7.9423166,1113878.96626271,1288.36204408876,0,0,0,0,0
139,24,8.049015,1119267.22136514,1293.81661545982,0,0,0,0,0
140,24,8.0640465,1081485.42011703,1253.80079442784,0,0,0,0,0
141,24,8.0583821,1085514.64740511,1265.99337046281,0,0,0,0,0
142,24,8.1392217,1137807.24387536,1310.08860490851,0,0,0,0,0
143,24,8.0703041,1120402.14445893,1288.8303231949,0,0,0,0,0
144,24,8.3847305,1126600.55642755,1304.91718059778,0,0,0,0,0
145,24,7.9142354,1127172.2446431,1303.92730059193,0,0,0,0,0
146,24,8.0019651,1131084.80768777,1303.78007975047,0,0,0,0,0
147,24,7.9775686,1135168.17061256,1311.68710158264,0,0,0,0,0
148,24,8.0468566,1107935.96660642,1273.50070593377,0,0,0,0,0
149,24,8.2006821,1142157.72026377,1315.270118376,0,0,0,0,0
150,24,8.2153625,1134878.19607764,1309.9637428156,0,0,0,0,0
151,24,8.0251358,1137592.10594845,1311.50827520797,0,0,0,0,0
152,24,8.0298243,1137106.97128281,1308.37074034574,0,0,0,0,0
153,24,7.9911221,1117247.03360508,1288.43293406102,0,0,0,0,0
154,24,8.1761129,1136441.51772791,1310.10575965635,0,0,0,0,0
155,24,8.0008872,1117716.17222113,1286.98516644314,0,0,0,0,0
156,24,7.9407073,1103082.87230184,1274.83878414729,0,0,0,0,0
157,24,8.0486124,1129566.39487961,1298.04396410234,0,0,0,0,0
158,24,7.9346792,1121922.28251701,1292.12188665706,0,0,0,0,0
159,24,7.8511779,1141815.75021509,1317.32809463147,0,0,0,0,0
160,24,7.8983771,1143419.90740253,1317.1355366958,0,0,0,0,0
161,24,7.9718483,1140125.90124297,1313.54620639195,0,0,0,0,0
162,24,8.1081209,1135172.63141638,1310.10644934004,0,0,0,0,0
