trajectory,successful_hours,solve_time_s,daily_cost,daily_loss_MWh,solar_curt_MWh,wind_curt_MWh,max_solar_curt_MW,max_wind_curt_MW,curtailed_hours
1,24,9.3918142,1037707.99346243,1252.0020547892,0,0,0,0,0
2,24,9.4865754,980243.020081025,1293.82295893371,0,0,0,0,0
3,24,9.5296656,1115831.72192366,1322.76057019866,0,0,0,0,0
4,24,9.7072987,1119638.51489654,1307.47003092163,0,0,0,0,0
5,24,9.4664318,1072247.39351069,1282.32344586055,0,0,0,0,0
6,24,9.7434708,1129106.61148175,1315.76146212372,0,0,0,0,0
7,24,9.4593069,1069444.13618982,1258.74570293838,0,0,0,0,0
8,24,9.5002781,1104084.45117583,1311.65441074798,0,0,0,0,0
9,24,9.6568597,1124997.0017028,1309.07645818346,0,0,0,0,0
10,24,9.7500945,1101191.16275945,1323.91916150175,0,0,0,0,0
11,24,9.4311364,1133635.1665823,1305.4644348772,0,0,0,0,0
12,24,9.632975,1103000.67189176,1294.44607979167,0,0,0,0,0
13,24,9.3283173,1023654.76505841,1229.79657476677,0,0,0,0,0
14,24,9.3851668,1064787.71727498,1267.99787029238,0,0,0,0,0
15,24,9.406586,1069352.66285405,1293.92818218829,0,0,0,0,0
16,24,9.5641788,1118303.215241,1286.66765164046,0,0,0,0,0
17,24,9.463202,1086493.29125442,1286.32852452051,0,0,0,0,0
18,24,9.4202587,988461.660414327,1243.21977555755,0,0,0,0,0
19,24,9.5483976,1120873.30162472,1316.75268008678,0,0,0,0,0
20,24,9.5090789,1106595.24747175,1301.44241453265,0,0,0,0,0
21,24,9.611716,1105876.68311654,1309.71882658716,0,0,0,0,0
22,24,9.5704062,1045362.85221464,1264.23019811699,0,0,0,0,0
23,24,9.6913244,1060270.2937507,1263.61629574947,0,0,0,0,0
24,24,9.2991974,1105677.69265487,1301.36047377847,0,0,0,0,0
25,24,9.599132,1117571.11511829,1322.90616478245,0,0,0,0,0
26,24,9.8297905,1086579.41614665,1299.09165238145,0,0,0,0,0
27,24,9.8433597,1039842.44669409,1251.65385805007,0,0,0,0,0
28,24,9.5292029,1050736.84967899,1250.47794667946,0,0,0,0,0
29,24,9.3287287,965922.973813896,1362.88129793644,0,0,0,0,0
30,24,9.3908587,1083892.48688527,1281.16953226605,0,0,0,0,0
31,24,9.310232,1085218.05098695,1290.39445351425,0,0,0,0,0
32,24,9.381877,1082724.12664943,1270.01037952905,0,0,0,0,0
33,24,9.4976936,1116126.58600911,1314.36048631863,0,0,0,0,0
34,24,9.3656957,1091807.32296802,1279.57980153484,0,0,0,0,0
35,24,9.4033823,1087191.74148309,1289.7023499584,0,0,0,0,0
36,24,9.4751437,1108744.16449595,1313.88580355007,0,0,0,0,0
37,24,9.531527,1070752.73129017,1270.39494260286,0,0,0,0,0
38,24,9.4975202,1089069.60689012,1286.47595926243,0,0,0,0,0
39,24,9.5540045,1065575.80751068,1271.34695756795,0,0,0,0,0
40,24,9.7523124,1059121.87984164,1276.12783408071,0,0,0,0,0
41,24,9.4950325,1106154.94722016,1287.7214549031,0,0,0,0,0
42,24,9.5458798,1002054.19263184,1237.29359870956,0,0,0,0,0
43,24,9.6464485,1109434.01544855,1312.86641476524,0,0,0,0,0
44,24,9.9119399,1053519.15945996,1232.98175882369,0,0,0,0,0
45,24,9.4823593,1112771.06936766,1298.62156651678,0,0,0,0,0
46,24,9.4312754,1042780.67590927,1250.12023476037,0,0,0,0,0
47,24,9.504867,1074617.09570632,1263.32621781525,0,0,0,0,0
48,24,9.5407517,1058541.42670973,1281.619827,0,0,0,0,0
49,24,9.4545209,1048608.91002577,1271.92712417568,0,0,0,0,0
50,24,9.4057577,1042814.70863703,1239.38614392942,0,0,0,0,0
51,24,9.4425544,1014141.45380567,1267.18510281123,0,0,0,0,0
52,24,9.7277466,1064365.82596701,1273.99371227557,0,0,0,0,0
53,24,9.498034,1136400.35298199,1313.17431891688,0,0,0,0,0
54,24,9.3830318,1033223.37244327,1273.072123418,0,0,0,0,0
55,24,9.6664273,1097721.06033908,1297.84369316249,0,0,0,0,0
56,24,9.5384159,1090015.60313328,1284.64156068409,0,0,0,0,0
57,24,9.5254367,1114543.50686751,1306.14129522923,0,0,0,0,0
58,24,9.6497938,1094748.82147625,1300.69884357912,0,0,0,0,0
59,24,9.5118932,1129522.74962259,1309.36885292941,0,0,0,0,0
60,24,9.5251738,1108136.15986241,1312.78103128666,0,0,0,0,0
61,24,10.0805763,1042308.23135708,1290.78786729549,0,0,0,0,0
62,24,9.5438804,1120280.31327495,1317.83493699279,0,0,0,0,0
63,24,9.6281413,1088575.0079157,1282.98831448798,0,0,0,0,0
64,24,9.258387,1108286.16201921,1305.58240689812,0,0,0,0,0
65,24,9.3912666,1073010.73981878,1272.97889468914,0,0,0,0,0
66,24,9.4162578,1085190.46549203,1287.84356378282,0,0,0,0,0
67,24,9.4558402,1059328.2359963,1280.70755830983,0,0,0,0,0
68,24,9.4552187,1078479.00251381,1284.48986334324,0,0,0,0,0
69,24,9.4677094,1106335.41697046,1305.10112338781,0,0,0,0,0
70,24,9.4189425,1094482.90869118,1291.18050328501,0,0,0,0,0
71,24,9.6845601,1107260.21516754,1304.25736864307,0,0,0,0,0
