peak_frac,scenario,scenario_label,N_valid,metric,estimate,bootstrap_se,ci_low,ci_high,unit
0.6,S1_Low_Conc,Low/Concentrated,400,daily_cost,922518.722766185,1299.05518106162,919966.32143309,924845.314655931,currency/day
0.6,S1_Low_Conc,Low/Concentrated,400,daily_loss_MWh,1117.91801801221,0.958808166008127,1115.99500952883,1119.78403836477,MWh/day
0.6,S1_Low_Conc,Low/Concentrated,400,daily_solar_curt_MWh,0,0,0,0,MWh/day
0.6,S1_Low_Conc,Low/Concentrated,400,daily_wind_curt_MWh,0,0,0,0,MWh/day
0.6,S1_Low_Conc,Low/Concentrated,400,daily_vmin,0.988953696209278,3.0916026152088e-05,0.988897419077294,0.989015499438797,p.u.
0.6,S1_Low_Conc,Low/Concentrated,400,daily_vmax,1.05999999793704,2.67657647750318e-11,1.05999999788781,1.05999999799,p.u.
0.6,S1_Low_Conc,Low/Concentrated,400,daily_vviol_hours,467.685,1.19974150038059,465.4025,469.9975,bus-hours/day
0.6,S1_Low_Conc,Low/Concentrated,400,curtailment_trajectory_probability,0,0,0,0,%
0.6,S2_High_Conc,High/Concentrated,400,daily_cost,879228.526508947,2503.53448438302,874565.117560554,884092.030066278,currency/day
0.6,S2_High_Conc,High/Concentrated,400,daily_loss_MWh,1192.76020056516,3.70390212710332,1185.97677481744,1200.93069930835,MWh/day
0.6,S2_High_Conc,High/Concentrated,400,daily_solar_curt_MWh,0.0388318574731147,0.0133314793629352,0.0136801049421831,0.0653671191280108,MWh/day
0.6,S2_High_Conc,High/Concentrated,400,daily_wind_curt_MWh,2.03705634190071,0.973393794150819,0.262651211155801,4.16483229175442,MWh/day
0.6,S2_High_Conc,High/Concentrated,400,daily_vmin,0.984779616511642,0.000365332565952073,0.984110008534285,0.985497693288916,p.u.
0.6,S2_High_Conc,High/Concentrated,400,daily_vmax,1.05999999810446,3.1742526334402e-11,1.05999999804234,1.05999999816339,p.u.
0.6,S2_High_Conc,High/Concentrated,400,daily_vviol_hours,428.66,1.6155308500164,425.4525,431.6625,bus-hours/day
0.6,S2_High_Conc,High/Concentrated,400,curtailment_trajectory_probability,3.75,0.931628608259459,2,5.5,%
0.6,S3_Low_Dist,Low/Distributed,400,daily_cost,923254.052759866,1064.16434475885,921222.042720952,925331.758770841,currency/day
0.6,S3_Low_Dist,Low/Distributed,400,daily_loss_MWh,1106.16477286017,0.803582945253427,1104.63891121343,1107.7728148217,MWh/day
0.6,S3_Low_Dist,Low/Distributed,400,daily_solar_curt_MWh,0,0,0,0,MWh/day
0.6,S3_Low_Dist,Low/Distributed,400,daily_wind_curt_MWh,0,0,0,0,MWh/day
0.6,S3_Low_Dist,Low/Distributed,400,daily_vmin,0.988912479923768,2.26281148185834e-05,0.988874332963406,0.988959792142434,p.u.
0.6,S3_Low_Dist,Low/Distributed,400,daily_vmax,1.05999999761989,5.33150577045713e-11,1.05999999751763,1.05999999772525,p.u.
0.6,S3_Low_Dist,Low/Distributed,400,daily_vviol_hours,503.755,0.838784089842998,502.065,505.37,bus-hours/day
0.6,S3_Low_Dist,Low/Distributed,400,curtailment_trajectory_probability,0,0,0,0,%
0.6,S4_High_Dist,High/Distributed,400,daily_cost,879154.86504957,1873.31476719808,875692.157563085,882783.110757238,currency/day
0.6,S4_High_Dist,High/Distributed,400,daily_loss_MWh,1116.37330962076,1.29114796388732,1113.80085858084,1118.83805694587,MWh/day
0.6,S4_High_Dist,High/Distributed,400,daily_solar_curt_MWh,0,0,0,0,MWh/day
0.6,S4_High_Dist,High/Distributed,400,daily_wind_curt_MWh,0,0,0,0,MWh/day
0.6,S4_High_Dist,High/Distributed,400,daily_vmin,0.988690656958602,4.27134650303718e-05,0.98861619153343,0.9887758384385,p.u.
0.6,S4_High_Dist,High/Distributed,400,daily_vmax,1.05999999770884,5.87531333864204e-11,1.05999999759114,1.0599999978183,p.u.
0.6,S4_High_Dist,High/Distributed,400,daily_vviol_hours,457.08,1.6637684053718,453.965,460.6825,bus-hours/day
0.6,S4_High_Dist,High/Distributed,400,curtailment_trajectory_probability,0,0,0,0,%
0.65,S1_Low_Conc,Low/Concentrated,400,daily_cost,1021750.71036004,1299.42234195278,1019160.93811868,1024116.67198169,currency/day
0.65,S1_Low_Conc,Low/Concentrated,400,daily_loss_MWh,1204.41177823031,1.01689913814835,1202.51555306612,1206.44147651507,MWh/day
0.65,S1_Low_Conc,Low/Concentrated,400,daily_solar_curt_MWh,0,0,0,0,MWh/day
0.65,S1_Low_Conc,Low/Concentrated,400,daily_wind_curt_MWh,0,0,0,0,MWh/day
0.65,S1_Low_Conc,Low/Concentrated,400,daily_vmin,0.989823991135863,3.12365761497427e-05,0.989762785794156,0.989886619887718,p.u.
0.65,S1_Low_Conc,Low/Concentrated,400,daily_vmax,1.0599999979761,3.58443563507666e-11,1.05999999791151,1.05999999804845,p.u.
0.65,S1_Low_Conc,Low/Concentrated,400,daily_vviol_hours,517.56,1.26426607714818,514.91,519.9325,bus-hours/day
0.65,S1_Low_Conc,Low/Concentrated,400,curtailment_trajectory_probability,0,0,0,0,%
0.65,S2_High_Conc,High/Concentrated,400,daily_cost,977996.066038672,2564.46727850748,973072.238458267,983235.126546749,currency/day
0.65,S2_High_Conc,High/Concentrated,400,daily_loss_MWh,1272.36605073222,3.40170155058578,1265.68290792194,1278.47458807716,MWh/day
