scenario,scenario_label,contingency_id,outage_branch_idx,outage_branch,requested_OPFs,successful_OPFs,failed_OPFs,success_rate_pct,mean_solve_time_s_per_OPF,total_solve_time_s
S1_Low_Conc,Low/Concentrated,1,38,26-30,9600,9600,0,100,0.2943411070625,2825.6746278
S1_Low_Conc,Low/Concentrated,2,8,8-5,9600,9600,0,100,0.4138189018125,3972.6614574
S1_Low_Conc,Low/Concentrated,3,32,26-25,9600,9600,0,100,0.437031042052083,4195.4980037
S1_Low_Conc,Low/Concentrated,4,31,23-25,9600,9600,0,100,0.430608416895833,4133.8408022
S1_Low_Conc,Low/Concentrated,5,155,94-100,9600,9600,0,100,0.316397137125,3037.4125164
S1_Low_Conc,Low/Concentrated,6,150,94-96,9600,9600,0,100,0.315807132708333,3031.748474
S2_High_Conc,High/Concentrated,1,38,26-30,9600,9600,0,100,0.3678942845625,3531.7851318
S2_High_Conc,High/Concentrated,2,8,8-5,9600,9600,0,100,0.4002722991875,3842.6140722
S2_High_Conc,High/Concentrated,3,32,26-25,9600,9600,0,100,0.36220361275,3477.1546824
S2_High_Conc,High/Concentrated,4,31,23-25,9600,9600,0,100,0.41862520965625,4018.8020127
S2_High_Conc,High/Concentrated,5,155,94-100,9600,9600,0,100,0.4121999249375,3957.1192794
S2_High_Conc,High/Concentrated,6,150,94-96,9600,9600,0,100,0.4090231094375,3926.6218506
S3_Low_Dist,Low/Distributed-diversified,1,38,26-30,9600,9600,0,100,0.45214903446875,4340.6307309
S3_Low_Dist,Low/Distributed-diversified,2,8,8-5,9600,9600,0,100,0.410165159677083,3937.5855329
S3_Low_Dist,Low/Distributed-diversified,3,32,26-25,9600,9600,0,100,0.34334682003125,3296.1294723
S3_Low_Dist,Low/Distributed-diversified,4,31,23-25,9600,9600,0,100,0.33579458384375,3223.6280049
S3_Low_Dist,Low/Distributed-diversified,5,155,94-100,9600,9600,0,100,0.39378145659375,3780.3019833
S3_Low_Dist,Low/Distributed-diversified,6,150,94-96,9600,9600,0,100,0.395478780885417,3796.5962965
S4_High_Dist,High/Distributed-diversified,1,38,26-30,9600,9600,0,100,0.394863046739583,3790.6852487
S4_High_Dist,High/Distributed-diversified,2,8,8-5,9600,9600,0,100,0.38794726096875,3724.2937053
S4_High_Dist,High/Distributed-diversified,3,32,26-25,9600,9600,0,100,0.3954984755,3796.7853648
S4_High_Dist,High/Distributed-diversified,4,31,23-25,9600,9600,0,100,0.36936066728125,3545.8624059
S4_High_Dist,High/Distributed-diversified,5,155,94-100,9600,9600,0,100,0.319673364885417,3068.8643029
S4_High_Dist,High/Distributed-diversified,6,150,94-96,9600,9600,0,100,0.316692553083333,3040.2485096
