hour,alpha,beta,mean_kt,std_kt,n_samples,KS_stat,KS_pvalue
6,1.9755,1.3444,0.5998,0.2405,623,0.06352,0.01254
7,0.8754,0.9454,0.4686,0.3121,1079,0.11386,0.0
8,0.6904,0.8352,0.4447,0.3265,1661,0.08104,0.0
9,1.1516,0.9533,0.5303,0.2901,1728,0.08326,0.0
10,1.3151,0.9064,0.5816,0.2788,1729,0.06829,0.0
11,1.3762,0.8639,0.6075,0.2741,1722,0.04538,0.00161
12,1.3552,0.7881,0.6241,0.2729,1718,0.0522,0.00017
13,1.2992,0.7698,0.6193,0.2778,1728,0.0571,2e-05
14,1.2877,0.8055,0.6038,0.2779,1723,0.05685,3e-05
15,1.2349,0.8488,0.5766,0.2827,1730,0.07249,0.0
16,1.0464,0.9063,0.5166,0.2994,1724,0.08031,0.0
17,0.888,0.8444,0.507,0.3119,1400,0.03246,0.10245
18,0.9564,0.8418,0.5274,0.3083,969,0.03765,0.12497
19,0.9823,0.9064,0.5034,0.3113,501,0.16393,0.0
