zone,hour_utc,envelope_Wm2,n_samples,alpha,beta,mean_kt,std_kt,KS_stat,KS_pvalue
Z1_NW,0,0.0,0,,,,,,
Z1_NW,1,0.0,0,,,,,,
Z1_NW,2,0.0,0,,,,,,
Z1_NW,3,0.0,0,,,,,,
Z1_NW,4,0.0,0,,,,,,
Z1_NW,5,0.0,0,,,,,,
Z1_NW,6,136.95,222,1.154181329738728,0.719193070891137,0.5692610132586037,0.2601916228343987,0.13880054878936915,0.0003414973966455579
Z1_NW,7,314.0,423,0.8847804356699067,0.6911223903653627,0.5025398488202256,0.2830720768254879,0.16065634526656786,5.259545592122206e-10
Z1_NW,8,502.0,606,0.7777911886812392,0.662753790977938,0.4847442362562949,0.2997640133684982,0.11046284440114967,6.777133544092079e-07
Z1_NW,9,678.0,727,0.8023620323242993,0.6506338846669263,0.49582282138987965,0.3029897351235146,0.12841475402919955,6.535995951533995e-11
Z1_NW,10,825.0,731,0.9218135127391869,0.6285378951115591,0.5507231977780541,0.2911147744955094,0.10929772496041362,4.638266142659778e-08
Z1_NW,11,930.0,731,1.0116690003895372,0.6036053265046474,0.5941261918420782,0.28590751889074745,0.09469054249038589,3.7224884228969466e-06
Z1_NW,12,985.006,729,1.010214245846804,0.5763732843976428,0.6101892670013803,0.2894378298125438,0.0870841266880964,2.9317712433749738e-05
Z1_NW,13,981.0,730,1.0273419743457248,0.5692327478349912,0.6172970886570873,0.29011685121726366,0.08668025007802715,3.200993385476656e-05
Z1_NW,14,913.006,729,0.9354869107268954,0.5320519151538119,0.6028290659107297,0.300141391760506,0.0907763021389259,1.1191579115438133e-05
Z1_NW,15,800.0,731,0.8892913416715994,0.5448971337871462,0.5773313782489741,0.30290448623587957,0.10283796024594366,3.48704779247363e-07
Z1_NW,16,650.0,724,0.7577061545144315,0.5658637248138335,0.5190320760730982,0.3199441949765805,0.10822274758060868,7.71397063011618e-08
Z1_NW,17,472.35,554,0.8058794326179665,0.5632058695588621,0.5433243469265547,0.3123790464302537,0.09278130118639294,0.0001334982019636438
Z1_NW,18,285.15,378,0.9133282036314004,0.5907358796836136,0.5630663914471823,0.30019040065525116,0.11589424006992854,7.027267926043052e-05
Z1_NW,19,110.89999999999998,182,1.4644684708071394,0.7351189323027257,0.6365936592712969,0.24131765965306637,0.13135851346773253,0.003371991443091517
Z1_NW,20,0.0,0,,,,,,
Z1_NW,21,0.0,0,,,,,,
Z1_NW,22,0.0,0,,,,,,
Z1_NW,23,0.0,0,,,,,,
Z2_NE,0,0.0,0,,,,,,
Z2_NE,1,0.0,0,,,,,,
Z2_NE,2,0.0,0,,,,,,
Z2_NE,3,0.0,0,,,,,,
Z2_NE,4,0.0,0,,,,,,
Z2_NE,5,0.0,0,,,,,,
Z2_NE,6,162.0,248,1.1820267413609038,0.6208829807047713,0.6234309239346874,0.26707991844693324,0.1005451426527259,0.012337668953449017
Z2_NE,7,344.0,438,0.8527882847940605,0.5563587432222995,0.5670337262397791,0.3084025875139602,0.09288901131031913,0.0009701219882762486
Z2_NE,8,533.0,614,0.7148204179011881,0.5489672111089792,0.5298913237711681,0.32731740212607935,0.06511154294813148,0.010467712451114407
Z2_NE,9,701.6499999999999,730,0.8084162537240325,0.5799708267299608,0.5383731183443333,0.31418398183846924,0.08547973878707948,4.335890288169694e-05
Z2_NE,10,844.5,731,0.9448266217639573,0.5782281579435348,0.5837838550563353,0.29863303108681366,0.08483532089204976,5.02112260103174e-05
Z2_NE,11,942.0,731,1.0027629548217316,0.5656911873577924,0.6088040412313644,0.29051759137105776,0.08141742238526428,0.00011576977920708164
Z2_NE,12,986.604,729,0.9721983024349842,0.5590460811744588,0.6038270809720374,0.2959945966417835,0.08219729968699363,9.860240617961565e-05
Z2_NE,13,972.55,730,1.0056666717879883,0.5676242261398449,0.6082910151677239,0.2906495096511526,0.07808430284818824,0.00025602528942392
Z2_NE,14,905.0,729,0.9367082666113195,0.5774581614855274,0.5821391461852685,0.2956498644455101,0.09315786435287077,5.886505167433989e-06
Z2_NE,15,786.0,731,0.8711678324251858,0.5860997245931658,0.5538794404820334,0.3024007053489252,0.09716313694202594,1.8525196881546825e-06
