zone,lag_hours,correlation
Z1_NW,1,0.8681014568593121
Z1_NW,2,0.7839034371861974
Z1_NW,3,0.7135575797525898
Z1_NW,4,0.6591716086675186
Z1_NW,5,0.6145093571637552
Z1_NW,6,0.5834857218331826
Z1_NW,7,0.5608154877372405
Z1_NW,8,0.523934946008274
Z1_NW,9,0.49272632506131303
Z1_NW,10,0.4580828364548559
Z1_NW,11,0.4474029826451758
Z1_NW,12,0.3231629835670376
Z1_NW,13,0.44004601427637935
Z1_NW,14,0.423364857051538
Z1_NW,15,0.46629635093578353
Z1_NW,16,0.4971969029050751
Z1_NW,17,0.517639431703187
Z1_NW,18,0.5139661974543605
Z1_NW,19,0.5224129516004935
Z1_NW,20,0.5328396684454867
Z1_NW,21,0.5536794822651883
Z1_NW,22,0.5891463488883457
Z1_NW,23,0.6316629932643465
Z1_NW,24,0.688771740600403
Z2_NE,1,0.8534314284212305
Z2_NE,2,0.7724000961122649
Z2_NE,3,0.7087624244757968
Z2_NE,4,0.6523648085398318
Z2_NE,5,0.6134593493297399
Z2_NE,6,0.5836576258285123
Z2_NE,7,0.5601403237184117
Z2_NE,8,0.5143530449451278
Z2_NE,9,0.4803306625087239
Z2_NE,10,0.44371377909836923
Z2_NE,11,0.36217503928191147
Z2_NE,12,0.27537770085805724
Z2_NE,13,0.37501279367850826
Z2_NE,14,0.440858839009767
Z2_NE,15,0.4591737632407679
Z2_NE,16,0.4932155299486712
Z2_NE,17,0.5232572615841887
Z2_NE,18,0.5427239555238409
Z2_NE,19,0.5505655630885962
Z2_NE,20,0.572921926506701
Z2_NE,21,0.5987607378093202
Z2_NE,22,0.6348199754365017
Z2_NE,23,0.6780097179945375
Z2_NE,24,0.7414103485149054
Z3_CW,1,0.8531245831240967
Z3_CW,2,0.7630688066373407
Z3_CW,3,0.6850140902597235
Z3_CW,4,0.624298094112462
Z3_CW,5,0.5838173280079637
Z3_CW,6,0.547773949720001
Z3_CW,7,0.5227354516355623
Z3_CW,8,0.4832807783065333
Z3_CW,9,0.4317791949508059
Z3_CW,10,0.3909361324657316
Z3_CW,11,0.38014241658959536
Z3_CW,12,0.2630526122982096
Z3_CW,13,0.3524941350012315
Z3_CW,14,0.35744266451573575
Z3_CW,15,0.4009378726584764
Z3_CW,16,0.4283865485285086
Z3_CW,17,0.45203442465491456
Z3_CW,18,0.46346719233967837
Z3_CW,19,0.4811626742774868
Z3_CW,20,0.49637726837084883
Z3_CW,21,0.5269110999928881
Z3_CW,22,0.564716960194596
Z3_CW,23,0.6095827856946866
Z3_CW,24,0.6729108346695466
Z4_CI,1,0.8688469673831974
Z4_CI,2,0.7868759026241368
Z4_CI,3,0.7189358442617051
Z4_CI,4,0.6690305295586411
Z4_CI,5,0.6280493490934257
Z4_CI,6,0.5921806581179958
Z4_CI,7,0.5706967294040238
Z4_CI,8,0.5454688987849774
Z4_CI,9,0.49253148624313353
Z4_CI,10,0.4381094742548802
Z4_CI,11,0.37074583292344165
Z4_CI,12,0.2059848239089529
Z4_CI,13,0.3805839764196363
Z4_CI,14,0.4286094408560321
Z4_CI,15,0.4917494263194258
Z4_CI,16,0.543602925577204
Z4_CI,17,0.5512794878029447
Z4_CI,18,0.5578443646815917
Z4_CI,19,0.5727783975015097
Z4_CI,20,0.595200636504887
Z4_CI,21,0.6215752193528978
Z4_CI,22,0.6613832816668833
Z4_CI,23,0.7103263402059533
Z4_CI,24,0.7740479700467502
Z5_SW,1,0.8718577041746396
Z5_SW,2,0.7758427048531708
Z5_SW,3,0.6986892531121901
Z5_SW,4,0.6394542895939113
Z5_SW,5,0.5959334154909168
Z5_SW,6,0.5634677509505035
Z5_SW,7,0.5412816573176182
Z5_SW,8,0.522969106039846
Z5_SW,9,0.48587964041167087
Z5_SW,10,0.4128102916131766
Z5_SW,11,0.40289082346184174
Z5_SW,12,0.18978738750728447
Z5_SW,13,0.3901418608599292
Z5_SW,14,0.3814907639298742
Z5_SW,15,0.45293959479327806
Z5_SW,16,0.48851712936375286
Z5_SW,17,0.5036149643365849
Z5_SW,18,0.5128856146916754
Z5_SW,19,0.5329023539821103
Z5_SW,20,0.5564024833683102
Z5_SW,21,0.5888662803319872
Z5_SW,22,0.6371803380810611
Z5_SW,23,0.6929040030346174
Z5_SW,24,0.7665780980049105
Z6_SE,1,0.8590683769925933
Z6_SE,2,0.765654408293738
Z6_SE,3,0.6875312168737581
Z6_SE,4,0.6315237458058681
Z6_SE,5,0.5891035969667658
Z6_SE,6,0.5674156643818078
Z6_SE,7,0.558905667823999
Z6_SE,8,0.5539301175914092
Z6_SE,9,0.5032279413350405
Z6_SE,10,0.44199841837118664
Z6_SE,11,0.42162941604374854
Z6_SE,12,0.2383484791196781
Z6_SE,13,0.41821516489190863
Z6_SE,14,0.4259097388025028
Z6_SE,15,0.4786548076493033
Z6_SE,16,0.5291445047185531
Z6_SE,17,0.5203840730018193
Z6_SE,18,0.5230687835099311
Z6_SE,19,0.5264726610545366
Z6_SE,20,0.5510393635309973
Z6_SE,21,0.5897224532616786
Z6_SE,22,0.6350902952374285
Z6_SE,23,0.6984156868560096
Z6_SE,24,0.7739044022925387
